Car_Name,Brand,Year,Car_Age,Kms_Driven,Fuel_Type,Transmission,Owner,Engine,Power,Efficiency,Seats,Location,Seller_Type,Present_Price,Selling_Price
Nexon,Tata,2021,3,35067,Diesel,Automatic,1,1493,128.3,26.4,5,Mumbai,Individual,8.04,6.14
Punch,Tata,2023,1,25822,Petrol,Manual,1,1199,88.0,17.8,5,Hyderabad,Dealer,9.27,7.64
Nexon EV,Tata,2022,2,49745,Electric,Automatic,3,0,137.2,291.0,5,Delhi,Dealer,17.84,11.77
Nano,Tata,2015,9,116816,Petrol,Manual,0,670,36.8,17.4,4,Chennai,Dealer,1.57,0.67
Nexon EV,Tata,2021,3,33966,Electric,Automatic,1,0,137.8,265.8,5,Mumbai,Dealer,18.39,13.98
Nexon,Tata,2021,3,53824,Petrol,Manual,0,1297,119.2,17.9,5,Chennai,Individual,13.26,10.14
Tigor,Tata,2017,7,41224,Petrol,Manual,2,1199,85.8,14.1,5,Hyderabad,Dealer,8.04,3.84
Indica,Tata,2009,15,85821,Petrol,Manual,1,1282,68.8,17.2,5,Bangalore,Individual,5.65,2.26
Safari,Tata,2022,2,10778,Diesel,Manual,0,1956,174.2,27.3,6,Ahmedabad,Dealer,20.34,17.85
Nano,Tata,2009,15,81798,Petrol,Manual,3,667,38.5,17.8,4,Ahmedabad,Dealer,2.19,0.88
Nexon EV,Tata,2021,3,26782,Electric,Automatic,0,0,134.3,379.6,5,Mumbai,Individual,14.55,12.84
Nexon EV,Tata,2022,2,43224,Electric,Automatic,0,0,138.0,327.0,5,Pune,Dealer,16.14,14.09
Altroz,Tata,2020,4,29896,Petrol,Automatic,2,1336,103.2,20.6,5,Chennai,Individual,11.25,7.22
Punch,Tata,2024,0,14693,Petrol,Automatic,1,1199,84.7,18.0,5,Hyderabad,Individual,8.47,7.56
Harrier,Tata,2021,3,54643,Diesel,Manual,1,1956,167.6,23.9,5,Chennai,Dealer,16.47,12.11
Altroz,Tata,2020,4,51778,Petrol,Manual,3,1296,102.3,17.5,5,Pune,Individual,10.55,5.74
Safari,Tata,2023,1,20969,Diesel,Manual,2,1956,168.2,20.3,7,Chennai,Dealer,16.0,13.06
Punch,Tata,2023,1,12000,Petrol,Manual,1,1199,88.3,17.2,5,Mumbai,Individual,10.35,8.71
Tiago,Tata,2017,7,95427,Petrol,Manual,1,1199,86.7,19.3,5,Mumbai,Individual,6.47,3.13
